,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
121,100K Channel Update + AMA Stream!,2020-11-12T17:34:26Z,2322,126,22,2020-11-12,22,Nov
122,Find a Data Science Project With These 3 Techniques,2020-11-06T13:00:13Z,17026,732,106,2020-11-06,106,Nov
123,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30T14:00:07Z,28106,688,155,2020-10-30,155,Oct
124,git for Data Science Made Simple... (Hopefully),2020-10-23T15:00:10Z,21326,910,92,2020-10-23,92,Oct
125,The PODCAST you might have asked for?,2020-10-19T15:00:11Z,2128,93,44,2020-10-19,44,Oct
126,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16T15:00:18Z,6800,450,113,2020-10-16,113,Oct
127,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14T15:00:11Z,14695,427,47,2020-10-14,47,Oct
128,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12T15:00:00Z,7048,150,62,2020-10-12,62,Oct
129,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09T15:00:09Z,12333,580,83,2020-10-09,83,Oct
130,Sh*t Data Scientists Say (Parody),2020-10-05T15:00:08Z,9686,581,144,2020-10-05,144,Oct
131,5 Proven Strategies to Break into a Data Science Job,2020-10-02T15:00:08Z,8641,364,93,2020-10-02,93,Oct
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30T15:00:09Z,7100,287,61,2020-09-30,61,Sep
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28T15:00:04Z,11947,291,69,2020-09-28,69,Sep
134,5 Essential Data Science Projects for Your Portfolio,2020-09-26T15:00:06Z,74252,3132,206,2020-09-26,206,Sep
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23T15:00:02Z,5223,199,64,2020-09-23,64,Sep
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21T15:00:03Z,13855,520,60,2020-09-21,60,Sep
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18T16:00:10Z,7545,254,34,2020-09-18,34,Sep
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16T15:00:24Z,5124,197,56,2020-09-16,56,Sep
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14T15:00:00Z,4358,156,35,2020-09-14,35,Sep
140,The 5 Pillars of Success I Live By,2020-09-11T15:00:11Z,10163,872,152,2020-09-11,152,Sep
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09T15:00:12Z,1897,79,25,2020-09-09,25,Sep
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07T15:00:30Z,4060,164,43,2020-09-07,43,Sep
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04T15:00:00Z,11956,742,145,2020-09-04,145,Sep
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02T15:00:13Z,18082,575,89,2020-09-02,89,Sep
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31T15:00:15Z,18280,796,93,2020-08-31,93,Aug
146,Why I'm Starting Data Science Over Again.,2020-08-29T15:30:10Z,50829,2597,450,2020-08-29,450,Aug
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26T15:00:03Z,15406,638,78,2020-08-26,78,Aug
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24T15:00:31Z,13376,474,55,2020-08-24,55,Aug
149,Don't Buy My Course..,2020-08-21T16:00:32Z,7350,359,146,2020-08-21,146,Aug
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19T15:00:11Z,29162,1110,166,2020-08-19,166,Aug
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17T15:00:07Z,3258,127,38,2020-08-17,38,Aug
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14T15:00:31Z,6370,539,108,2020-08-14,108,Aug
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12T15:30:26Z,5076,188,39,2020-08-12,39,Aug
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10T15:00:08Z,13194,415,53,2020-08-10,53,Aug
155,The Plagiarism Problem in Data Science,2020-08-07T15:00:16Z,13117,627,145,2020-08-07,145,Aug
